operation,time
"AVERAGE SENTIMENT PER TREND",0.027600000000000003
"SENTIMENT PERCENTAGES",0.041499999999999995
"TREND DIFFUSION DEGREE",0.0023
"USER COHERENCE SCORE",0.19140000000000001
"USER'S SENTIMENT PERCENTAGES",0.0020000000000000005
"ENGAGEMENT METRICS COMPUTATION",0.0079
"DISCUSSIONS' DETECTION",0.0016
